ID,Loot Times,Activity Times
0,0,0
10001,0,13824
9997,0,8691
10009,0,13703
20011,1107,0
40016,1064,0
30002,592,0
30018,779,0
30030,735,0
10003,3180,3208
30014,835,0
40002,1260,0
40003,1234,0
30022,633,0
40017,704,0
30004,1719,0
40011,664,0
20009,1108,0
10005,4162,727
20016,1406,0
10004,3265,585
40028,650,0
30016,926,0
10006,4492,625
30021,832,0
20007,1276,0
40004,1170,0
40006,656,0
10007,3560,0
30020,757,0
10008,1616,0
20015,1056,0
30009,625,0
20019,3017,0
20008,1455,0
40008,841,0
40007,1308,0
30006,976,0
12001,0,2144
12002,0,911
12003,0,444
120031,0,185
12004,0,6344
11006,0,981
11001,0,1734
11004,0,2085
11002,0,791
11003,0,437
30019,907,0
40027,652,0
20014,1345,0
40026,806,0
18006,0,1017
18005,0,1328
40025,1236,0
40005,745,0
18001,0,1818
10002,0,5664
100031,0,2155
20020,1967,0
30015,765,0
40019,965,0
20012,953,0
40020,577,0
12005,0,1459
30029,599,0
20018,3015,0
40022,1030,0
40024,546,0
20013,1096,0
17001,0,1252
17004,0,1278
17006,0,544
40013,891,0
40001,1258,0
30023,734,0
30031,593,0
40015,568,0
20017,862,0
16005,0,499
16001,0,1071
40018,613,0
40021,505,0
16006,0,322
30008,611,0
17002,0,482
17003,0,181
30017,1061,0
16002,0,426
16003,0,219
160031,0,82
20010,932,0
30026,460,0
40010,1101,0
30001,796,0
40009,700,0
40014,604,0
14004,0,1047
11005,0,1754
18004,0,3010
30024,758,0
40012,595,0
18002,0,776
10012,0,43
13001,0,1448
13002,0,657
13003,0,375
130031,0,128
15001,0,1570
15002,0,549
15004,0,2118
13004,0,2454
15006,0,917
13006,0,956
13005,0,828
30028,671,0
10013,0,156
15005,0,1683
15003,0,228
40023,665,0
30027,453,0
140031,0,145
14005,0,709
14001,0,1051
14002,0,492
14003,0,256
16004,0,1231
30025,340,0
12006,0,1019
18003,0,297
180031,0,122
14006,0,676
110031,0,196
17005,0,901
170031,0,32
1008,0,8
150031,0,98
1009,0,7
1003,0,4
1006,0,4
1002,0,2
1007,0,3
1004,0,3
1005,0,1
