ID,Alpha,Beta,Gamma
0,0,0,0
0,0,0,0
1137,568200,3,46835822
2568,261000,0,58148961
4608,1020000,5,30377694
2640,918000,5,34230929
1724,955000,4,44212717
1690,276000,0,40100622
2727,907000,4,43877380
1753,248000,0,33761436
1950,0,0,43288177
1933,204000,1,44180246
1061,244000,1,42902101
3014,96000,0,63060272
2681,243000,0,43065118
2889,0,0,35327913
1416,0,0,44357110
1022,0,0,39883047
5893,153000,1,62757384
1763,0,0,13758012
4580,0,0,65366143
2502,261000,1,56850304
1003,150000,1,42034080
1451,30000,0,64665750
4855,440000,1,32048449
1149,0,0,52217027
1099,268000,1,60616043
4531,0,0,13300409
1708,613000,3,50986802
1365,533000,1,38280708
2749,140000,0,34213962
4655,0,0,48235368
1086,390000,2,37437880
1256,0,0,56908976
2852,51000,0,40907460
2683,0,0,53592642
2928,90000,0,46378580
2249,512000,3,44717472
1756,609000,1,37268362
1346,0,0,48361038
5854,0,0,29377849
1816,168000,1,55889588
4657,0,0,43941870
2513,607000,3,60501711
1040,166000,0,32898050
1133,401000,1,59740361
4202,0,0,13978439
4793,0,0,60119726
1525,95000,0,46572387
1953,25000,0,35686282
5855,280000,0,61943100
4880,0,0,46972246
4651,0,0,13311680
2622,204000,0,41252126
1490,0,0,48733432
5903,0,0,37532008
2774,0,0,34478535
1231,0,0,44319648
2760,195000,0,41613672
4803,307600,0,39864618
2685,110000,0,47442969
0,0,0,0
5944,90000,0,56033230
1991,783400,1,48142903
2128,104000,0,43120345
5890,710400,3,40017928
5849,121000,1,63861397
1112,180000,0,26511455
1416,0,0,52548167
1730,1613000,8,50300485
1183,75000,0,45077834
4784,0,0,52512538
2928,445000,0,43628637
4655,90000,0,59108823
1154,0,0,36811092
3014,90000,0,64227278
1708,186200,0,41735744
2726,28000,0,61475868
2980,0,0,60504344
4853,0,0,46355387
1256,20000,0,41032355
1280,111600,0,33996832
4578,0,0,52925697
1756,81000,0,52737198
1301,276800,1,50100412
1148,2315000,5,34699806
1066,116800,0,46753506
1475,678800,2,53219989
5917,26000,0,46402759
1045,0,0,37503168
1050,134000,1,62409911
4609,430000,0,39673670
4814,0,0,54325215
6000,416000,0,52609165
2970,38000,0,56052610
0,0,0,0
1137,802400,2,62591140
1724,166000,0,64175400
2640,317600,3,61287169
5944,156000,0,61052836
2754,76000,0,41873732
5912,456600,0,42356558
5890,388000,1,48616228
1152,104000,0,48108322
